0, "Dume", "Thnk Void", -3.0444104874590887, -0.8766837761674957
1, "Keep Us Together", "Raina Solway", 3.9776023920752155, -10.554854064289161
2, "Say Hello To Alison", "The Dig", -4.868861809617707, 1.5883416941835244
3, "Whose Heart", "Okey Dokey", -3.5045479586799417, 12.02899949449991
4, "When I'm Gone", "Yo & The South", -1.6674269338769128, 3.330057009065968
5, "White Girls, Black Jackets", "Inning", 0.09419565852305312, 4.502887182402594
6, "Window Eyes (feat. Pawn)", "Pleasure Nature", 0.1654986329973772, 2.5251517734659847
7, "You Don't Know Me", "Brandon Hoogenboom", -0.7182407161460602, -7.499299123942965
8, "Who's Mess, Who's Tears", "Made-Up", 1.8991992693111015, 7.022177180508008
9, "yours alone", "mellow fellow", 4.5117507335704525, 7.201292102458146
10, "WHY BELIEVE", "Secret American", -2.78276025647908, 8.032946550390497
11, "Zzz", "Oro Swimming Hour", -2.59651224197548, 12.432498362070803
12, "Wollow", "Strüds Munroe", -7.489717642793865, 6.660502236356215
13, "Yearning", "sailawway", 0.12159274076764263, -8.479216102940475
14, "Yellow House", "Orchid Mantis", -0.24353403446211153, 6.131081974233188
15, "Yew", "BUHU", 2.5461411140008234, -4.012026320161383
16, "you.", "Oscar Lang", 0.613238687114555, -8.673097847214404
17, "Your Better Half Is Dead", "draag", 2.5272186030193047, 7.406915215557765
18, "Jazzboy", "ST. MARTiiNS", -6.8266959415252595, 5.58852447091538
19, "Melon Cauliflower", "Bobey", 5.537006704960788, -6.51799860323029
20, "Kite", "boy scouts", -0.7786073616697402, -11.808015479053582
21, "Jelly Love", "Cousin Kula", -3.8443643781120485, -0.9020466650643363
22, "Lights Out", "Ocean Potion", -4.5869765574683505, -4.526620208589466
23, "Lady Lovely (Demo)", "Orange Joe", -0.01903016754692132, -12.151677133765057
24, "Sex With My Ex", "Provoker", 4.20801859999354, -2.2832418845834597
25, "In Camera", "Yumi Zouma", 1.3629269925372287, 6.281665988270267
26, "Loneliness", "Aaron Taos", -1.7385851421541898, -2.309248655397912
27, "Michigan", "Barrie", -5.018909116856135, 2.5883767680429357
28, "Sick Feeling", "Boy Pablo", -1.7383958388066814, 8.262389963271598
29, "In Dreams", "cardnl", 0.9933134299916868, -13.310875269281782
30, "LaLaLa", "freddyboy", 0.6682024961049718, -6.923321563399959
31, "Keep", "JANA", 6.032055492380398, -2.3945311477474576
32, "Kooky Sun", "Laure Briard", -3.464946568707966, 10.59632537956365
33, "Like an Animal", "Alfie Templeman", -3.6018598488014546, 9.965897293525124
34, "Since I Saw You", "Alfred Hall", 0.4756387038135789, 0.8365506392706522
35, "Low Health", "Goodbye Max", -1.3663213286467364, -7.940361851955046
36, "Monsters", "Jo Marches", -4.191502105792216, 8.250093096218862
37, "l o s e r. (Prod.cmedina)", "Julian Bolanos", -2.244357159847069, -5.086730299332652
38, "It's Okay To Dream", "Mellow Fellow & Ruru", -0.7630878413997394, 1.7722070696930574
39, "What To Say", "Bill Nickson", -1.3530250721775121, 5.501959398955373
40, "Orange Girl", "Dreamer Boy", -3.288960938540326, -0.18794672762867853
41, "Parents", "FLOOR CRY", -0.28317752093079446, -5.9536309143159425
42, "Sad Day", "Skøpitone Siskø", 4.3628188794259755, 2.777813437869911
43, "Old Man", "Stella Donnelly", -2.603078663341494, 10.663018109341813
44, "Whirl", "Aaberg", -4.263961841024991, -8.229147516238726
45, "Part 1 Romaine 7000", "Dash Hammerstein", 0.3085862273928158, -3.188065858851094
46, "Only on the Weekends", "Fishing in Japan", 3.3331128982783365, 6.973433114142904
47, "Sad TV", "Mind Shrine", 0.9312327460734601, -1.9058913918022795
48, "Patreon Anthem", "MITYA", 0.5647015548222516, 9.275863829776668
49, "Something For You", "Remy", 5.555182442122443, -4.719624198688961
50, "Orogeny", "Soft Streak", 1.9844764645267943, -4.005067467585696
51, "Quiet Games", "Andrew Todd", -2.757032834816901, 5.823762825060844
52, "Something Real", "Birgitta Alida", -3.5567972796641154, 8.173723739072642
53, "Out of Bounds", "COMPs", -2.0413373810906794, 9.346377721870958
54, "Whoa (ft. Bane's World)", "Inner Wave", -0.7655710808520773, -3.0217381527477873
55, "Powder", "LAUNDER", -1.5792121937881922, 3.663088679196281
56, "Second Part", "Motorama", 4.984711191078216, 0.0674126727328876
57, "Outta Focus", "Sunnbrella", -0.2732867472603071, 0.6061982887872975
58, "Over Time", "Baywaves", 4.354585855919951, 9.44171352957308
59, "Programming", "Boyo", -4.418612431398858, 7.831415007347811
60, "Secret Satan", "Gregory Pepper & His Problems", -2.822895875668968, 13.579874931472022
61, "Out of My Skin", "Karl Fitzgerald", -0.7944813847162044, 3.022672203896728
62, "Real Like You", "Model Tenant", -3.090395201175588, -9.98144423983707
63, "Something To Look Forward To", "Ritual Talk", -0.7270162281050161, -9.107611362555222
64, "Settle Down", "Ösla", 8.12896348841648, -7.252626884378135
65, "Rework", "Light Scene Factory - This Emotion", -0.28022509662945533, -6.362332683534651
66, "pushover", "maggery", 3.5551917666369928, -10.615435865479679
67, "School Boy", "Coral Pink", 1.739903525605642, -7.0318906238409715
68, "Stars Are Calling (feat. Gisela Payne)", "Dream League Soccer", 5.19992635333013, -1.7399463106846054
69, "What Does It Take", "Miljon", 9.685702902406174, -6.555518114308758
70, "Some More", "MUNYA", -2.9332046844993758, 3.5916560656175074
71, "Why you wouldn't", "FAIX", 0.5728329046003957, 0.3094768474874454
72, "Susie May (Josh Augustin cover)", "beabadoobee", -4.362853663735057, 2.382587739004621
73, "Undertow", "Mammoth Indigo", -2.636827184540503, -1.2716411974995865
